season,team,games,observed_games,out_designations,out_per_observed_game,musculoskeletal_out_per_game,out_excluding_noninjury_per_game,reserve_per_game,win_share,coverage,rank_out
2021,PHI,17,17,17.0,1.0,0.8823529411764706,0.8823529411764706,8.294117647058824,0.5294117647058824,1.0,25.0
2021,PIT,17,17,35.0,2.0588235294117645,1.8235294117647058,1.9411764705882353,9.058823529411764,0.5588235294117647,1.0,9.0
2021,SEA,17,17,27.0,1.588235294117647,1.3529411764705883,1.5294117647058822,8.882352941176471,0.4117647058823529,1.0,16.0
2021,SF,17,17,42.0,2.4705882352941178,2.411764705882353,2.4705882352941178,11.882352941176471,0.5882352941176471,1.0,4.0
2021,TB,17,17,34.0,2.0,1.7647058823529411,1.9411764705882353,9.235294117647058,0.7647058823529411,1.0,11.0
2021,TEN,17,17,62.0,3.6470588235294117,3.1176470588235294,3.5294117647058822,15.294117647058824,0.7058823529411765,1.0,1.0
2021,WAS,17,17,37.0,2.176470588235294,1.7058823529411764,2.0,13.764705882352942,0.4117647058823529,1.0,6.0
2022,ARI,17,17,60.0,3.5294117647058822,3.235294117647059,3.5294117647058822,11.294117647058824,0.23529411764705882,1.0,2.0
2022,ATL,17,17,20.0,1.1764705882352942,1.0,1.1176470588235294,9.294117647058824,0.4117647058823529,1.0,24.0
2022,BAL,17,17,22.0,1.2941176470588236,1.2352941176470589,1.2352941176470589,12.117647058823529,0.5882352941176471,1.0,21.0
2022,BUF,16,16,31.0,1.9375,1.875,1.9375,6.0,0.8125,1.0,13.0
2022,CAR,17,17,19.0,1.1176470588235294,0.8235294117647058,0.9411764705882353,6.9411764705882355,0.4117647058823529,1.0,27.0
2022,CHI,17,16,25.0,1.5625,0.9375,1.4375,7.588235294117647,0.17647058823529413,0.9411764705882353,16.0
2022,CIN,16,16,23.0,1.4375,1.375,1.4375,8.4375,0.75,1.0,18.0
2022,CLE,17,17,26.0,1.5294117647058822,0.7647058823529411,1.411764705882353,12.470588235294118,0.4117647058823529,1.0,17.0
2022,DAL,17,17,22.0,1.2941176470588236,1.0,1.2941176470588236,10.705882352941176,0.7058823529411765,1.0,21.0
2022,DEN,17,17,49.0,2.8823529411764706,2.7058823529411766,2.823529411764706,13.705882352941176,0.29411764705882354,1.0,9.0
2022,DET,17,17,52.0,3.0588235294117645,2.8823529411764706,3.0,10.823529411764707,0.5294117647058824,1.0,6.0
2022,GB,17,17,20.0,1.1764705882352942,1.1176470588235294,1.0588235294117647,6.0588235294117645,0.47058823529411764,1.0,24.0
2022,HOU,17,17,39.0,2.2941176470588234,1.9411764705882353,2.176470588235294,8.470588235294118,0.20588235294117646,1.0,11.0
2022,IND,17,17,39.0,2.2941176470588234,1.9411764705882353,2.235294117647059,6.176470588235294,0.2647058823529412,1.0,11.0
2022,JAX,17,15,10.0,0.6666666666666666,0.4666666666666667,0.4666666666666667,4.588235294117647,0.5294117647058824,0.8823529411764706,32.0
2022,KC,17,17,17.0,1.0,0.8235294117647058,0.9411764705882353,4.882352941176471,0.8235294117647058,1.0,29.0
2022,LA,17,17,56.0,3.2941176470588234,3.0,3.1176470588235294,12.411764705882353,0.29411764705882354,1.0,5.0
2022,LAC,17,17,23.0,1.3529411764705883,1.1176470588235294,1.3529411764705883,10.647058823529411,0.5882352941176471,1.0,19.0
2022,LV,17,17,19.0,1.1176470588235294,0.7058823529411765,1.1176470588235294,7.9411764705882355,0.35294117647058826,1.0,27.0
2022,MIA,17,17,16.0,0.9411764705882353,0.4117647058823529,0.8235294117647058,9.176470588235293,0.5294117647058824,1.0,30.0
2022,MIN,17,17,21.0,1.2352941176470589,0.9411764705882353,1.2352941176470589,7.705882352941177,0.7647058823529411,1.0,23.0
2022,NE,17,17,28.0,1.6470588235294117,1.0,1.6470588235294117,10.294117647058824,0.47058823529411764,1.0,15.0
2022,NO,17,17,58.0,3.411764705882353,2.9411764705882355,3.2941176470588234,9.764705882352942,0.4117647058823529,1.0,4.0
2022,NYG,17,17,59.0,3.4705882352941178,3.0,3.411764705882353,10.647058823529411,0.5588235294117647,1.0,3.0
2022,NYJ,17,17,30.0,1.7647058823529411,1.588235294117647,1.7058823529411764,9.470588235294118,0.4117647058823529,1.0,14.0
2022,PHI,17,17,23.0,1.3529411764705883,1.2352941176470589,1.3529411764705883,6.705882352941177,0.8235294117647058,1.0,19.0
2022,PIT,17,17,20.0,1.1764705882352942,1.0,1.1764705882352942,7.705882352941177,0.5294117647058824,1.0,24.0
2022,SEA,17,17,14.0,0.8235294117647058,0.7058823529411765,0.7647058823529411,12.117647058823529,0.5294117647058824,1.0,31.0
2022,SF,17,17,51.0,3.0,2.9411764705882355,3.0,8.470588235294118,0.7647058823529411,1.0,7.0
2022,TB,17,17,45.0,2.6470588235294117,2.4705882352941178,2.6470588235294117,5.529411764705882,0.47058823529411764,1.0,10.0
2022,TEN,17,17,71.0,4.176470588235294,3.588235294117647,4.176470588235294,14.647058823529411,0.4117647058823529,1.0,1.0
2022,WAS,17,17,50.0,2.9411764705882355,2.3529411764705883,2.9411764705882355,10.117647058823529,0.5,1.0,8.0
2023,ARI,17,17,44.0,2.588235294117647,2.3529411764705883,2.4705882352941178,12.235294117647058,0.23529411764705882,1.0,3.0
2023,ATL,17,16,19.0,1.1875,0.9375,1.125,10.176470588235293,0.4117647058823529,0.9411764705882353,26.0
2023,BAL,17,17,36.0,2.1176470588235294,1.7647058823529411,2.0,10.117647058823529,0.7647058823529411,1.0,10.0
2023,BUF,17,17,17.0,1.0,0.9411764705882353,1.0,8.176470588235293,0.6470588235294118,1.0,30.0
2023,CAR,17,17,37.0,2.176470588235294,1.6470588235294117,2.176470588235294,10.352941176470589,0.11764705882352941,1.0,8.0
